region	north america	#DC2F24
division	washington	#DC2F24
division	oregon	#2986CC
host	avian	#4066CF
host	environment	#77B67F
host	nonhuman mammal	#CEB541
animal	chicken	#545454
animal	or cate	#4066CF
animal	gull 1	#F2a922
animal	gull 2	#F28729
animal	gull 3	#FFE599
animal	CATE 1	#A3C1AD
animal	CATE 2	#A0D6B4
animal	CATE 3	#5f9EA0
animal	CATE 4	#317873
animal	CATE 5	#49796b
animal	CATE 6	#ADD2F2
animal	CATE 7	#A2C4C9
animal	seal 1	#FF4E50
animal	seal 2	#F0F436
animal	seal 3	#FF0097
animal	seal 4	#FF00A9
animal	seal 5	#FF0065
